step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,12.784,UNKNOWN,key,right,,
1,12.888,UNKNOWN,key,right,,
2,12.988,UNKNOWN,key,up,,
3,13.087,UNKNOWN,key,right,,
4,18.372,UNKNOWN,key,right,,
5,23.107,UNKNOWN,key,right,,
6,23.203,UNKNOWN,key,right,,
7,23.303,UNKNOWN,key,up,,
8,23.403,UNKNOWN,key,right,,
9,28.658,UNKNOWN,key,right,,
10,33.624,UNKNOWN,key,right,,
11,33.722,UNKNOWN,key,right,,
12,33.821,UNKNOWN,key,up,,
13,33.921,UNKNOWN,key,right,,
14,39.23,UNKNOWN,key,right,,
15,44.143,UNKNOWN,key,right,,
16,44.238,UNKNOWN,key,right,,
17,44.337,UNKNOWN,key,up,,
18,44.438,UNKNOWN,key,right,,
