step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,7.774,UNKNOWN,key,right,,
1,7.79,UNKNOWN,-,-,-,-
2,7.89,UNKNOWN,-,-,-,-
3,8.072,UNKNOWN,key,right,,
4,8.089,UNKNOWN,-,-,-,-
5,8.189,UNKNOWN,-,-,-,-
6,8.375,UNKNOWN,key,up,,
7,13.588,UNKNOWN,key,x,,
8,18.857,UNKNOWN,key,down,,
9,24.033,UNKNOWN,key,z,,
10,29.256,UNKNOWN,key,x,,
11,34.525,UNKNOWN,key,x,,
12,34.622,UNKNOWN,key,up,,
13,34.64,UNKNOWN,-,-,-,-
14,34.739,UNKNOWN,-,-,-,-
15,34.922,UNKNOWN,key,up,,
16,34.939,UNKNOWN,-,-,-,-
17,35.039,UNKNOWN,-,-,-,-
18,35.221,UNKNOWN,key,left,,
19,40.347,UNKNOWN,key,up,,
20,45.323,UNKNOWN,key,x,,
21,50.427,UNKNOWN,key,left,,
22,55.208,UNKNOWN,key,x,,
23,60.496,UNKNOWN,key,left,,
24,60.589,UNKNOWN,key,right,,
25,60.607,UNKNOWN,-,-,-,-
26,60.707,UNKNOWN,-,-,-,-
27,60.89,UNKNOWN,key,right,,
28,60.908,UNKNOWN,-,-,-,-
29,61.007,UNKNOWN,-,-,-,-
