step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.097,UNKNOWN,key,right,,
1,0.26,UNKNOWN,touch,,64,96
2,0.361,UNKNOWN,key,z,,
3,0.46,UNKNOWN,key,right,,
4,0.56,UNKNOWN,touch,,128,144
5,0.659,UNKNOWN,key,z,,
6,0.76,UNKNOWN,key,left,,
7,0.86,UNKNOWN,touch,,128,48
8,0.959,UNKNOWN,touch,,128,48
9,1.06,UNKNOWN,touch,,192,96
10,1.16,UNKNOWN,touch,,192,96
11,1.26,UNKNOWN,key,left,,
12,1.36,UNKNOWN,touch,,192,96
13,1.46,UNKNOWN,key,return,,
14,1.56,UNKNOWN,touch,,192,96
15,1.66,UNKNOWN,key,z,,
16,1.76,UNKNOWN,touch,,64,96
17,1.86,UNKNOWN,touch,,64,96
18,1.96,UNKNOWN,key,right,,
19,2.06,UNKNOWN,touch,,192,96
20,2.16,UNKNOWN,key,return,,
21,2.262,UNKNOWN,touch,,128,144
22,2.361,UNKNOWN,key,left,,
23,2.46,UNKNOWN,key,return,,
24,2.56,UNKNOWN,key,right,,
25,2.66,UNKNOWN,touch,,192,96
26,2.759,UNKNOWN,touch,,192,96
27,2.86,UNKNOWN,touch,,128,144
28,2.96,UNKNOWN,touch,,64,96
29,3.06,UNKNOWN,touch,,128,48
30,3.16,UNKNOWN,key,z,,
31,3.26,UNKNOWN,key,z,,
32,3.36,UNKNOWN,touch,,128,144
33,3.46,UNKNOWN,touch,,64,96
34,3.56,UNKNOWN,key,up,,
35,3.66,UNKNOWN,key,z,,
36,3.764,UNKNOWN,key,return,,
37,3.877,UNKNOWN,touch,,64,96
38,3.993,UNKNOWN,touch,,128,144
39,4.094,UNKNOWN,key,left,,
40,4.209,UNKNOWN,touch,,128,144
41,4.294,UNKNOWN,key,right,,
42,4.395,UNKNOWN,key,x,,
43,4.494,UNKNOWN,key,return,,
44,4.626,UNKNOWN,touch,,128,144
45,4.71,UNKNOWN,key,right,,
46,4.811,UNKNOWN,key,right,,
47,4.942,UNKNOWN,touch,,64,96
48,5.043,UNKNOWN,touch,,128,144
49,5.159,UNKNOWN,touch,,128,144
50,5.26,UNKNOWN,touch,,128,96
51,5.376,UNKNOWN,touch,,64,96
52,5.477,UNKNOWN,touch,,192,96
53,5.578,UNKNOWN,key,down,,
54,5.692,UNKNOWN,touch,,128,48
55,5.792,UNKNOWN,touch,,128,144
56,5.893,UNKNOWN,touch,,128,144
57,6.009,UNKNOWN,touch,,128,144
58,6.109,UNKNOWN,touch,,64,96
59,6.225,UNKNOWN,touch,,128,144
60,6.326,UNKNOWN,touch,,128,144
61,6.443,UNKNOWN,touch,,192,96
62,6.527,UNKNOWN,key,z,,
63,6.627,UNKNOWN,key,up,,
64,6.759,UNKNOWN,touch,,128,96
65,6.844,UNKNOWN,key,x,,
66,6.977,UNKNOWN,touch,,128,48
67,7.077,UNKNOWN,key,return,,
68,7.192,UNKNOWN,touch,,128,48
69,7.293,UNKNOWN,touch,,64,96
70,7.409,UNKNOWN,touch,,128,48
71,7.494,UNKNOWN,key,right,,
72,7.611,UNKNOWN,key,x,,
73,7.711,UNKNOWN,key,right,,
74,7.811,UNKNOWN,key,right,,
75,7.926,UNKNOWN,touch,,128,144
76,8.026,UNKNOWN,touch,,128,144
77,8.111,UNKNOWN,key,left,,
78,8.211,UNKNOWN,key,x,,
79,8.311,UNKNOWN,key,up,,
80,8.426,UNKNOWN,touch,,64,96
81,8.528,UNKNOWN,key,z,,
82,8.642,UNKNOWN,touch,,128,144
83,8.759,UNKNOWN,touch,,64,96
84,8.861,UNKNOWN,key,down,,
85,8.961,UNKNOWN,key,return,,
86,9.077,UNKNOWN,touch,,128,144
87,9.193,UNKNOWN,touch,,128,144
88,9.277,UNKNOWN,key,right,,
89,9.409,UNKNOWN,touch,,192,96
90,9.509,UNKNOWN,touch,,192,96
91,9.611,UNKNOWN,key,down,,
92,9.726,UNKNOWN,touch,,128,144
93,9.811,UNKNOWN,key,up,,
94,9.912,UNKNOWN,key,down,,
95,10.028,UNKNOWN,key,left,,
96,10.142,UNKNOWN,touch,,128,48
97,10.243,UNKNOWN,touch,,64,96
98,10.328,UNKNOWN,key,left,,
99,10.445,UNKNOWN,touch,,128,96
100,10.545,UNKNOWN,key,down,,
101,10.659,UNKNOWN,touch,,64,96
102,10.744,UNKNOWN,key,left,,
103,10.859,UNKNOWN,touch,,64,96
104,10.96,UNKNOWN,touch,,128,48
105,11.077,UNKNOWN,touch,,192,96
106,11.195,UNKNOWN,touch,,64,96
107,11.31,UNKNOWN,touch,,192,96
108,11.426,UNKNOWN,touch,,128,96
109,11.511,UNKNOWN,key,down,,
110,11.628,UNKNOWN,key,up,,
111,11.743,UNKNOWN,touch,,128,96
112,11.843,UNKNOWN,touch,,64,96
113,11.959,UNKNOWN,touch,,128,96
114,12.059,UNKNOWN,touch,,128,96
115,12.161,UNKNOWN,key,z,,
116,12.261,UNKNOWN,key,return,,
117,12.376,UNKNOWN,touch,,128,48
118,12.462,UNKNOWN,key,x,,
119,12.593,UNKNOWN,touch,,128,144
120,12.678,UNKNOWN,key,up,,
121,12.793,UNKNOWN,touch,,64,96
122,12.909,UNKNOWN,touch,,64,96
123,12.994,UNKNOWN,key,x,,
124,13.094,UNKNOWN,key,return,,
125,13.195,UNKNOWN,key,z,,
126,13.309,UNKNOWN,touch,,128,48
127,13.426,UNKNOWN,touch,,128,96
128,13.528,UNKNOWN,key,return,,
129,13.643,UNKNOWN,touch,,128,48
130,13.76,UNKNOWN,touch,,128,96
131,13.876,UNKNOWN,touch,,128,48
132,13.961,UNKNOWN,key,right,,
133,14.077,UNKNOWN,touch,,192,96
134,14.193,UNKNOWN,touch,,64,96
135,14.293,UNKNOWN,touch,,128,144
136,14.409,UNKNOWN,touch,,128,96
137,14.494,UNKNOWN,key,down,,
138,14.627,UNKNOWN,touch,,128,48
139,14.728,UNKNOWN,key,return,,
140,14.842,UNKNOWN,touch,,128,96
141,14.943,UNKNOWN,touch,,128,96
142,15.043,UNKNOWN,touch,,128,96
143,15.16,UNKNOWN,touch,,128,144
144,15.277,UNKNOWN,touch,,128,48
145,15.393,UNKNOWN,touch,,64,96
146,15.477,UNKNOWN,key,up,,
147,15.593,UNKNOWN,touch,,64,96
148,15.696,UNKNOWN,key,down,,
149,15.795,UNKNOWN,key,z,,
