step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.02,UNKNOWN,-,-,-,-
1,0.118,UNKNOWN,-,-,-,-
2,0.218,UNKNOWN,-,-,-,-
3,0.319,UNKNOWN,-,-,-,-
4,0.419,UNKNOWN,-,-,-,-
5,0.519,UNKNOWN,-,-,-,-
6,0.619,UNKNOWN,-,-,-,-
7,0.719,UNKNOWN,-,-,-,-
8,0.819,UNKNOWN,-,-,-,-
9,0.919,UNKNOWN,-,-,-,-
10,1.019,UNKNOWN,-,-,-,-
11,1.119,UNKNOWN,-,-,-,-
12,1.219,UNKNOWN,-,-,-,-
13,1.319,UNKNOWN,-,-,-,-
14,1.419,UNKNOWN,-,-,-,-
15,1.519,UNKNOWN,-,-,-,-
16,1.619,UNKNOWN,-,-,-,-
17,1.773,UNKNOWN,key,left,,
18,1.82,UNKNOWN,-,-,-,-
19,1.919,UNKNOWN,-,-,-,-
20,2.019,UNKNOWN,-,-,-,-
21,2.118,UNKNOWN,-,-,-,-
22,2.219,UNKNOWN,-,-,-,-
23,2.319,UNKNOWN,-,-,-,-
24,2.419,UNKNOWN,-,-,-,-
25,2.519,UNKNOWN,-,-,-,-
26,2.618,UNKNOWN,-,-,-,-
27,2.718,UNKNOWN,-,-,-,-
28,2.818,UNKNOWN,-,-,-,-
29,2.919,UNKNOWN,-,-,-,-
30,3.071,UNKNOWN,key,left,,
31,3.119,UNKNOWN,-,-,-,-
32,3.218,UNKNOWN,-,-,-,-
33,3.319,UNKNOWN,-,-,-,-
34,3.419,UNKNOWN,-,-,-,-
35,3.571,UNKNOWN,key,left,,
36,3.619,UNKNOWN,-,-,-,-
37,3.736,UNKNOWN,-,-,-,-
38,3.835,UNKNOWN,-,-,-,-
39,3.935,UNKNOWN,-,-,-,-
40,4.036,UNKNOWN,-,-,-,-
41,4.135,UNKNOWN,-,-,-,-
42,4.235,UNKNOWN,-,-,-,-
43,4.336,UNKNOWN,-,-,-,-
44,4.436,UNKNOWN,-,-,-,-
45,4.536,UNKNOWN,-,-,-,-
46,4.635,UNKNOWN,-,-,-,-
47,4.787,UNKNOWN,key,down,,
48,4.836,UNKNOWN,-,-,-,-
49,4.935,UNKNOWN,-,-,-,-
50,5.035,UNKNOWN,-,-,-,-
51,5.136,UNKNOWN,-,-,-,-
52,5.287,UNKNOWN,key,down,,
53,5.387,UNKNOWN,key,down,,
54,5.487,UNKNOWN,key,down,,
55,5.587,UNKNOWN,key,down,,
56,5.687,UNKNOWN,key,down,,
57,5.789,UNKNOWN,key,down,,
58,5.887,UNKNOWN,key,down,,
59,5.989,UNKNOWN,key,down,,
60,6.087,UNKNOWN,key,down,,
61,6.187,UNKNOWN,key,down,,
62,6.287,UNKNOWN,key,down,,
63,6.388,UNKNOWN,key,down,,
64,6.487,UNKNOWN,key,down,,
65,6.587,UNKNOWN,key,down,,
66,6.687,UNKNOWN,key,down,,
67,6.787,UNKNOWN,key,down,,
68,6.887,UNKNOWN,key,down,,
69,6.987,UNKNOWN,key,down,,
70,7.089,UNKNOWN,key,down,,
71,7.187,UNKNOWN,key,down,,
72,7.287,UNKNOWN,key,down,,
73,7.335,UNKNOWN,-,-,-,-
74,7.436,UNKNOWN,-,-,-,-
75,7.536,UNKNOWN,-,-,-,-
76,7.636,UNKNOWN,-,-,-,-
77,7.736,UNKNOWN,-,-,-,-
78,7.835,UNKNOWN,-,-,-,-
79,7.935,UNKNOWN,-,-,-,-
80,8.036,UNKNOWN,-,-,-,-
81,8.136,UNKNOWN,-,-,-,-
82,8.236,UNKNOWN,-,-,-,-
83,8.337,UNKNOWN,-,-,-,-
84,8.436,UNKNOWN,-,-,-,-
85,8.536,UNKNOWN,-,-,-,-
86,8.635,UNKNOWN,-,-,-,-
87,8.736,UNKNOWN,-,-,-,-
88,8.836,UNKNOWN,-,-,-,-
89,8.935,UNKNOWN,-,-,-,-
90,9.036,UNKNOWN,-,-,-,-
91,9.136,UNKNOWN,-,-,-,-
92,9.235,UNKNOWN,-,-,-,-
93,9.336,UNKNOWN,-,-,-,-
94,9.452,UNKNOWN,-,-,-,-
95,9.553,UNKNOWN,-,-,-,-
96,9.652,UNKNOWN,-,-,-,-
97,9.753,UNKNOWN,-,-,-,-
98,9.852,UNKNOWN,-,-,-,-
99,9.953,UNKNOWN,-,-,-,-
100,10.053,UNKNOWN,-,-,-,-
101,10.152,UNKNOWN,-,-,-,-
102,10.252,UNKNOWN,-,-,-,-
103,10.353,UNKNOWN,-,-,-,-
104,10.453,UNKNOWN,-,-,-,-
105,10.553,UNKNOWN,-,-,-,-
106,10.653,UNKNOWN,-,-,-,-
107,10.752,UNKNOWN,-,-,-,-
108,10.853,UNKNOWN,-,-,-,-
109,10.953,UNKNOWN,-,-,-,-
110,11.053,UNKNOWN,-,-,-,-
111,11.152,UNKNOWN,-,-,-,-
112,11.252,UNKNOWN,-,-,-,-
113,11.352,UNKNOWN,-,-,-,-
114,11.453,UNKNOWN,-,-,-,-
115,11.553,UNKNOWN,-,-,-,-
116,11.653,UNKNOWN,-,-,-,-
117,11.753,UNKNOWN,-,-,-,-
118,11.852,UNKNOWN,-,-,-,-
119,11.953,UNKNOWN,-,-,-,-
120,12.053,UNKNOWN,-,-,-,-
121,12.153,UNKNOWN,-,-,-,-
122,12.253,UNKNOWN,-,-,-,-
123,12.353,UNKNOWN,-,-,-,-
124,12.453,UNKNOWN,-,-,-,-
125,12.552,UNKNOWN,-,-,-,-
126,12.652,UNKNOWN,-,-,-,-
127,12.753,UNKNOWN,-,-,-,-
128,12.853,UNKNOWN,-,-,-,-
129,12.952,UNKNOWN,-,-,-,-
130,13.052,UNKNOWN,-,-,-,-
131,13.152,UNKNOWN,-,-,-,-
132,13.253,UNKNOWN,-,-,-,-
133,13.352,UNKNOWN,-,-,-,-
134,13.452,UNKNOWN,-,-,-,-
135,13.552,UNKNOWN,-,-,-,-
136,13.653,UNKNOWN,-,-,-,-
137,13.754,UNKNOWN,-,-,-,-
138,13.854,UNKNOWN,-,-,-,-
139,13.953,UNKNOWN,-,-,-,-
140,14.052,UNKNOWN,-,-,-,-
141,14.153,UNKNOWN,-,-,-,-
142,14.252,UNKNOWN,-,-,-,-
143,14.352,UNKNOWN,-,-,-,-
144,14.452,UNKNOWN,-,-,-,-
145,14.553,UNKNOWN,-,-,-,-
146,14.653,UNKNOWN,-,-,-,-
147,14.752,UNKNOWN,-,-,-,-
148,14.853,UNKNOWN,-,-,-,-
149,14.969,UNKNOWN,-,-,-,-
150,15.069,UNKNOWN,-,-,-,-
151,15.169,UNKNOWN,-,-,-,-
152,15.269,UNKNOWN,-,-,-,-
153,15.369,UNKNOWN,-,-,-,-
154,15.47,UNKNOWN,-,-,-,-
155,15.571,UNKNOWN,-,-,-,-
156,15.669,UNKNOWN,-,-,-,-
157,15.769,UNKNOWN,-,-,-,-
158,15.871,UNKNOWN,-,-,-,-
159,15.969,UNKNOWN,-,-,-,-
160,16.069,UNKNOWN,-,-,-,-
161,16.169,UNKNOWN,-,-,-,-
162,16.269,UNKNOWN,-,-,-,-
163,16.37,UNKNOWN,-,-,-,-
164,16.469,UNKNOWN,-,-,-,-
165,16.569,UNKNOWN,-,-,-,-
166,16.669,UNKNOWN,-,-,-,-
167,16.77,UNKNOWN,-,-,-,-
168,16.87,UNKNOWN,-,-,-,-
169,16.97,UNKNOWN,-,-,-,-
170,17.069,UNKNOWN,-,-,-,-
171,17.169,UNKNOWN,-,-,-,-
172,17.269,UNKNOWN,-,-,-,-
173,17.369,UNKNOWN,-,-,-,-
174,17.47,UNKNOWN,-,-,-,-
175,17.57,UNKNOWN,-,-,-,-
176,17.669,UNKNOWN,-,-,-,-
177,17.769,UNKNOWN,-,-,-,-
178,17.869,UNKNOWN,-,-,-,-
