step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,14.535,UNKNOWN,-,-,-,-
1,21.423,UNKNOWN,-,-,-,-
2,28.186,UNKNOWN,-,-,-,-
3,34.443,UNKNOWN,-,-,-,-
4,40.792,UNKNOWN,-,-,-,-
5,47.17,UNKNOWN,-,-,-,-
6,53.329,UNKNOWN,-,-,-,-
7,59.815,UNKNOWN,-,-,-,-
8,66.121,UNKNOWN,-,-,-,-
9,72.417,UNKNOWN,-,-,-,-
10,78.885,UNKNOWN,-,-,-,-
11,85.098,UNKNOWN,-,-,-,-
12,91.596,UNKNOWN,-,-,-,-
13,98.061,UNKNOWN,-,-,-,-
14,104.683,UNKNOWN,-,-,-,-
15,111.724,UNKNOWN,-,-,-,-
16,118.54,UNKNOWN,-,-,-,-
