step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,8.198,UNKNOWN,key,right,,
1,8.214,UNKNOWN,-,-,-,-
2,8.312,UNKNOWN,-,-,-,-
3,8.494,UNKNOWN,key,right,,
4,8.513,UNKNOWN,-,-,-,-
5,8.694,UNKNOWN,key,up,,
6,14.127,UNKNOWN,key,x,,
7,14.229,UNKNOWN,key,right,,
8,14.246,UNKNOWN,-,-,-,-
9,14.346,UNKNOWN,-,-,-,-
10,14.529,UNKNOWN,key,right,,
11,14.546,UNKNOWN,-,-,-,-
12,14.728,UNKNOWN,key,up,,
13,20.171,UNKNOWN,key,x,,
14,20.263,UNKNOWN,key,up,,
15,20.279,UNKNOWN,-,-,-,-
16,20.379,UNKNOWN,-,-,-,-
17,20.562,UNKNOWN,key,up,,
18,20.579,UNKNOWN,-,-,-,-
19,20.679,UNKNOWN,-,-,-,-
20,20.861,UNKNOWN,key,left,,
