step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.011,UNKNOWN,-,-,-,-
1,0.109,UNKNOWN,-,-,-,-
2,0.21,UNKNOWN,-,-,-,-
3,0.31,UNKNOWN,-,-,-,-
4,0.409,UNKNOWN,-,-,-,-
5,0.509,UNKNOWN,-,-,-,-
6,0.61,UNKNOWN,-,-,-,-
7,0.71,UNKNOWN,-,-,-,-
8,0.81,UNKNOWN,-,-,-,-
9,0.927,UNKNOWN,-,-,-,-
10,1.026,UNKNOWN,-,-,-,-
11,1.126,UNKNOWN,-,-,-,-
12,1.226,UNKNOWN,-,-,-,-
13,1.326,UNKNOWN,-,-,-,-
14,1.426,UNKNOWN,-,-,-,-
15,1.526,UNKNOWN,-,-,-,-
16,1.626,UNKNOWN,-,-,-,-
17,1.727,UNKNOWN,-,-,-,-
18,1.827,UNKNOWN,-,-,-,-
19,1.926,UNKNOWN,-,-,-,-
20,2.027,UNKNOWN,-,-,-,-
21,2.127,UNKNOWN,-,-,-,-
22,2.227,UNKNOWN,-,-,-,-
23,2.327,UNKNOWN,-,-,-,-
24,2.427,UNKNOWN,-,-,-,-
25,2.527,UNKNOWN,-,-,-,-
26,2.627,UNKNOWN,-,-,-,-
27,2.727,UNKNOWN,-,-,-,-
28,2.827,UNKNOWN,-,-,-,-
29,2.927,UNKNOWN,-,-,-,-
30,3.027,UNKNOWN,-,-,-,-
31,3.127,UNKNOWN,-,-,-,-
32,3.227,UNKNOWN,-,-,-,-
33,3.327,UNKNOWN,-,-,-,-
34,3.428,UNKNOWN,-,-,-,-
35,3.53,UNKNOWN,-,-,-,-
36,3.63,UNKNOWN,-,-,-,-
37,3.727,UNKNOWN,-,-,-,-
38,3.828,UNKNOWN,-,-,-,-
39,3.927,UNKNOWN,-,-,-,-
40,4.027,UNKNOWN,-,-,-,-
41,4.126,UNKNOWN,-,-,-,-
42,4.226,UNKNOWN,-,-,-,-
43,4.326,UNKNOWN,-,-,-,-
44,4.426,UNKNOWN,-,-,-,-
45,4.526,UNKNOWN,-,-,-,-
46,4.627,UNKNOWN,-,-,-,-
47,4.727,UNKNOWN,-,-,-,-
48,4.827,UNKNOWN,-,-,-,-
49,4.927,UNKNOWN,-,-,-,-
50,5.027,UNKNOWN,-,-,-,-
51,5.127,UNKNOWN,-,-,-,-
52,5.226,UNKNOWN,-,-,-,-
53,5.327,UNKNOWN,-,-,-,-
54,5.427,UNKNOWN,-,-,-,-
55,5.527,UNKNOWN,-,-,-,-
56,5.627,UNKNOWN,-,-,-,-
57,5.728,UNKNOWN,-,-,-,-
58,5.829,UNKNOWN,-,-,-,-
59,5.93,UNKNOWN,-,-,-,-
