step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
1240,136.152,UNKNOWN,touch,,64,96
1241,136.255,UNKNOWN,key,left,,
1242,136.353,UNKNOWN,key,z,,
1243,136.454,UNKNOWN,key,up,,
1244,136.554,UNKNOWN,key,z,,
1245,136.674,UNKNOWN,touch,,128,48
1246,136.773,UNKNOWN,key,left,,
1247,136.872,UNKNOWN,key,right,,
1248,136.972,UNKNOWN,key,x,,
1249,137.087,UNKNOWN,touch,,128,96
1250,137.206,UNKNOWN,touch,,128,96
1251,137.328,UNKNOWN,touch,,128,96
1252,137.422,UNKNOWN,key,down,,
1253,137.536,UNKNOWN,touch,,128,96
1254,137.638,UNKNOWN,key,return,,
1255,137.737,UNKNOWN,key,left,,
1256,137.853,UNKNOWN,touch,,128,144
1257,137.973,UNKNOWN,touch,,128,96
1258,138.09,UNKNOWN,touch,,128,48
1259,138.207,UNKNOWN,touch,,64,96
1260,138.306,UNKNOWN,key,x,,
1261,138.422,UNKNOWN,key,up,,
1262,138.537,UNKNOWN,touch,,128,48
1263,138.641,UNKNOWN,key,x,,
1264,138.753,UNKNOWN,touch,,128,96
1265,138.874,UNKNOWN,touch,,128,96
1266,138.99,UNKNOWN,touch,,64,96
1267,139.108,UNKNOWN,touch,,128,48
1268,139.223,UNKNOWN,touch,,128,48
1269,139.324,UNKNOWN,key,return,,
1270,139.437,UNKNOWN,touch,,192,96
1271,139.54,UNKNOWN,key,x,,
1272,139.653,UNKNOWN,touch,,128,144
1273,139.774,UNKNOWN,touch,,128,96
1274,139.874,UNKNOWN,key,down,,
1275,139.987,UNKNOWN,touch,,128,48
1276,140.105,UNKNOWN,touch,,192,96
1277,140.205,UNKNOWN,key,z,,
1278,140.305,UNKNOWN,key,down,,
1279,140.404,UNKNOWN,key,right,,
1280,140.523,UNKNOWN,touch,,128,96
1281,140.624,UNKNOWN,key,x,,
1282,140.737,UNKNOWN,touch,,64,96
1283,140.856,UNKNOWN,touch,,128,48
1284,140.971,UNKNOWN,touch,,64,96
1285,141.087,UNKNOWN,touch,,64,96
1286,141.204,UNKNOWN,touch,,64,96
1287,141.306,UNKNOWN,key,return,,
1288,141.404,UNKNOWN,key,return,,
1289,141.522,UNKNOWN,touch,,128,144
1290,141.638,UNKNOWN,touch,,64,96
1291,141.772,UNKNOWN,touch,,64,96
1292,141.887,UNKNOWN,touch,,192,96
1293,142.003,UNKNOWN,touch,,192,96
1294,142.122,UNKNOWN,touch,,128,48
1295,142.236,UNKNOWN,touch,,64,96
1296,142.339,UNKNOWN,key,z,,
1297,142.438,UNKNOWN,key,return,,
1298,142.554,UNKNOWN,touch,,128,48
1299,142.67,UNKNOWN,touch,,128,96
1300,142.778,UNKNOWN,key,up,,
1301,142.886,UNKNOWN,touch,,128,96
1302,143.006,UNKNOWN,touch,,128,48
1303,143.123,UNKNOWN,touch,,128,96
1304,143.237,UNKNOWN,touch,,128,96
1305,143.344,UNKNOWN,key,up,,
1306,143.455,UNKNOWN,touch,,128,144
1307,143.574,UNKNOWN,touch,,64,96
1308,143.673,UNKNOWN,key,right,,
1309,143.787,UNKNOWN,touch,,64,96
1310,143.89,UNKNOWN,key,return,,
1311,144.005,UNKNOWN,touch,,128,144
1312,144.125,UNKNOWN,touch,,128,144
1313,144.24,UNKNOWN,touch,,192,96
1314,144.343,UNKNOWN,key,left,,
1315,144.44,UNKNOWN,key,z,,
1316,144.539,UNKNOWN,key,up,,
1317,144.654,UNKNOWN,touch,,128,144
1318,144.773,UNKNOWN,touch,,128,144
1319,144.872,UNKNOWN,key,left,,
1320,144.987,UNKNOWN,touch,,128,144
1321,145.106,UNKNOWN,key,x,,
1322,145.204,UNKNOWN,key,down,,
1323,145.321,UNKNOWN,touch,,128,48
1324,145.44,UNKNOWN,touch,,128,48
1325,145.558,UNKNOWN,touch,,128,144
1326,145.675,UNKNOWN,touch,,128,48
1327,145.79,UNKNOWN,touch,,128,96
1328,145.907,UNKNOWN,touch,,64,96
1329,146.006,UNKNOWN,key,x,,
1330,146.12,UNKNOWN,touch,,128,96
1331,146.222,UNKNOWN,key,x,,
1332,146.338,UNKNOWN,touch,,64,96
1333,146.453,UNKNOWN,touch,,128,48
1334,146.571,UNKNOWN,touch,,128,144
1335,146.687,UNKNOWN,touch,,128,96
1336,146.804,UNKNOWN,touch,,128,48
1337,146.92,UNKNOWN,touch,,128,48
1338,147.038,UNKNOWN,touch,,128,144
1339,147.154,UNKNOWN,touch,,64,96
1340,147.273,UNKNOWN,touch,,64,96
1341,147.372,UNKNOWN,key,left,,
1342,147.473,UNKNOWN,key,z,,
1343,147.571,UNKNOWN,key,x,,
1344,147.688,UNKNOWN,touch,,128,144
1345,147.806,UNKNOWN,touch,,128,144
1346,147.921,UNKNOWN,touch,,128,144
1347,148.022,UNKNOWN,key,left,,
1348,148.137,UNKNOWN,touch,,192,96
1349,148.257,UNKNOWN,touch,,128,144
1350,148.357,UNKNOWN,key,left,,
1351,148.472,UNKNOWN,key,up,,
1352,148.573,UNKNOWN,key,z,,
1353,148.678,UNKNOWN,key,left,,
1354,148.788,UNKNOWN,touch,,128,96
1355,148.91,UNKNOWN,touch,,128,144
1356,149.007,UNKNOWN,key,up,,
1357,149.121,UNKNOWN,touch,,128,144
1358,149.241,UNKNOWN,touch,,128,48
1359,149.354,UNKNOWN,touch,,128,96
1360,149.474,UNKNOWN,touch,,128,144
1361,149.591,UNKNOWN,touch,,128,144
1362,149.69,UNKNOWN,key,left,,
1363,149.803,UNKNOWN,touch,,128,96
1364,149.925,UNKNOWN,touch,,192,96
1365,150.04,UNKNOWN,touch,,128,144
1366,150.157,UNKNOWN,touch,,128,144
1367,150.273,UNKNOWN,touch,,128,144
1368,150.391,UNKNOWN,touch,,64,96
1369,150.49,UNKNOWN,key,right,,
1370,150.605,UNKNOWN,touch,,64,96
1371,150.707,UNKNOWN,key,z,,
1372,150.82,UNKNOWN,touch,,128,96
1373,150.926,UNKNOWN,key,up,,
1374,151.038,UNKNOWN,touch,,64,96
1375,151.157,UNKNOWN,touch,,128,144
1376,151.274,UNKNOWN,touch,,192,96
1377,151.388,UNKNOWN,touch,,128,96
1378,151.507,UNKNOWN,touch,,64,96
1379,151.622,UNKNOWN,touch,,128,144
1380,151.74,UNKNOWN,touch,,128,48
1381,151.874,UNKNOWN,touch,,128,48
1382,151.987,UNKNOWN,touch,,128,48
1383,152.09,UNKNOWN,key,z,,
1384,152.189,UNKNOWN,key,right,,
1385,152.304,UNKNOWN,touch,,128,144
1386,152.421,UNKNOWN,touch,,128,144
1387,152.523,UNKNOWN,key,left,,
1388,152.637,UNKNOWN,touch,,64,96
1389,152.74,UNKNOWN,key,up,,
1390,152.838,UNKNOWN,key,right,,
1391,152.954,UNKNOWN,touch,,128,48
1392,153.071,UNKNOWN,touch,,64,96
1393,153.188,UNKNOWN,touch,,192,96
1394,153.29,UNKNOWN,key,down,,
1395,153.404,UNKNOWN,touch,,128,144
1396,153.521,UNKNOWN,touch,,128,96
1397,153.637,UNKNOWN,touch,,128,144
1398,153.74,UNKNOWN,key,right,,
1399,153.838,UNKNOWN,key,z,,
1400,153.955,UNKNOWN,touch,,128,96
1401,154.073,UNKNOWN,touch,,128,48
1402,154.189,UNKNOWN,touch,,192,96
1403,154.304,UNKNOWN,touch,,128,144
1404,154.423,UNKNOWN,touch,,192,96
1405,154.527,UNKNOWN,key,left,,
1406,154.621,UNKNOWN,key,z,,
1407,154.723,UNKNOWN,key,down,,
1408,154.821,UNKNOWN,key,return,,
1409,154.939,UNKNOWN,touch,,128,48
1410,155.04,UNKNOWN,key,up,,
1411,155.155,UNKNOWN,key,up,,
1412,155.255,UNKNOWN,key,right,,
1413,155.354,UNKNOWN,key,down,,
1414,155.472,UNKNOWN,touch,,128,144
1415,155.591,UNKNOWN,touch,,128,144
1416,155.707,UNKNOWN,touch,,192,96
1417,155.825,UNKNOWN,touch,,128,48
1418,155.94,UNKNOWN,touch,,192,96
1419,156.039,UNKNOWN,key,down,,
1420,156.156,UNKNOWN,touch,,192,96
1421,156.258,UNKNOWN,key,z,,
1422,156.358,UNKNOWN,key,up,,
1423,156.471,UNKNOWN,touch,,128,144
1424,156.59,UNKNOWN,touch,,128,48
1425,156.709,UNKNOWN,touch,,128,96
1426,156.808,UNKNOWN,key,right,,
1427,156.921,UNKNOWN,touch,,64,96
1428,157.04,UNKNOWN,touch,,128,48
1429,157.142,UNKNOWN,key,x,,
1430,157.254,UNKNOWN,touch,,192,96
1431,157.374,UNKNOWN,touch,,192,96
1432,157.491,UNKNOWN,touch,,128,48
1433,157.607,UNKNOWN,touch,,128,48
1434,157.708,UNKNOWN,key,down,,
1435,157.821,UNKNOWN,touch,,128,144
1436,157.938,UNKNOWN,touch,,128,144
1437,158.054,UNKNOWN,touch,,192,96
1438,158.171,UNKNOWN,touch,,192,96
1439,158.275,UNKNOWN,key,z,,
1440,158.387,UNKNOWN,touch,,128,96
1441,158.504,UNKNOWN,touch,,64,96
1442,158.621,UNKNOWN,touch,,64,96
1443,158.724,UNKNOWN,key,z,,
1444,158.821,UNKNOWN,key,z,,
1445,158.939,UNKNOWN,touch,,128,96
1446,159.055,UNKNOWN,touch,,192,96
1447,159.158,UNKNOWN,key,left,,
1448,159.271,UNKNOWN,touch,,192,96
1449,159.388,UNKNOWN,touch,,128,96
1450,159.504,UNKNOWN,touch,,128,48
1451,159.622,UNKNOWN,touch,,128,144
1452,159.722,UNKNOWN,key,z,,
1453,159.838,UNKNOWN,touch,,192,96
1454,159.94,UNKNOWN,key,x,,
1455,160.054,UNKNOWN,touch,,128,144
1456,160.171,UNKNOWN,touch,,128,96
1457,160.291,UNKNOWN,touch,,128,48
1458,160.394,UNKNOWN,key,right,,
1459,160.488,UNKNOWN,key,z,,
1460,160.589,UNKNOWN,key,left,,
1461,160.704,UNKNOWN,touch,,64,96
1462,160.808,UNKNOWN,key,right,,
1463,160.905,UNKNOWN,key,x,,
1464,161.022,UNKNOWN,touch,,128,144
1465,161.141,UNKNOWN,touch,,128,96
1466,161.24,UNKNOWN,key,left,,
1467,161.354,UNKNOWN,touch,,192,96
1468,161.474,UNKNOWN,touch,,64,96
1469,161.591,UNKNOWN,touch,,128,96
1470,161.708,UNKNOWN,touch,,128,48
1471,161.842,UNKNOWN,touch,,128,144
1472,161.939,UNKNOWN,key,right,,
1473,162.055,UNKNOWN,touch,,64,96
1474,162.157,UNKNOWN,key,z,,
1475,162.27,UNKNOWN,touch,,128,144
1476,162.391,UNKNOWN,touch,,128,48
1477,162.509,UNKNOWN,touch,,128,96
1478,162.607,UNKNOWN,key,down,,
1479,162.721,UNKNOWN,touch,,64,96
1480,162.825,UNKNOWN,key,down,,
1481,162.922,UNKNOWN,key,z,,
1482,163.024,UNKNOWN,key,z,,
1483,163.124,UNKNOWN,key,return,,
1484,163.238,UNKNOWN,touch,,128,48
1485,163.358,UNKNOWN,touch,,64,96
1486,163.471,UNKNOWN,touch,,128,144
1487,163.59,UNKNOWN,touch,,128,96
1488,163.691,UNKNOWN,key,x,,
1489,163.79,UNKNOWN,key,up,,
1490,163.905,UNKNOWN,touch,,128,48
1491,164.008,UNKNOWN,key,right,,
1492,164.121,UNKNOWN,touch,,128,144
1493,164.223,UNKNOWN,key,left,,
1494,164.338,UNKNOWN,touch,,128,144
1495,164.444,UNKNOWN,key,right,,
1496,164.542,UNKNOWN,key,up,,
1497,164.655,UNKNOWN,touch,,64,96
1498,164.772,UNKNOWN,touch,,128,144
1499,164.89,UNKNOWN,touch,,192,96
1500,165.008,UNKNOWN,touch,,128,96
1501,165.137,UNKNOWN,touch,,128,96
1502,165.24,UNKNOWN,key,right,,
1503,165.354,UNKNOWN,touch,,128,96
1504,165.471,UNKNOWN,touch,,128,96
1505,165.59,UNKNOWN,touch,,128,48
1506,165.705,UNKNOWN,touch,,192,96
1507,165.822,UNKNOWN,touch,,128,144
1508,165.941,UNKNOWN,touch,,64,96
1509,166.058,UNKNOWN,touch,,64,96
1510,166.163,UNKNOWN,key,left,,
1511,166.255,UNKNOWN,key,down,,
1512,166.371,UNKNOWN,touch,,128,144
1513,166.491,UNKNOWN,touch,,64,96
1514,166.607,UNKNOWN,touch,,128,96
1515,166.725,UNKNOWN,touch,,64,96
1516,166.841,UNKNOWN,touch,,128,144
1517,166.94,UNKNOWN,key,return,,
1518,167.038,UNKNOWN,key,left,,
1519,167.155,UNKNOWN,touch,,128,96
1520,167.278,UNKNOWN,touch,,64,96
1521,167.373,UNKNOWN,key,right,,
1522,167.488,UNKNOWN,touch,,64,96
1523,167.607,UNKNOWN,touch,,192,96
1524,167.707,UNKNOWN,key,right,,
1525,167.822,UNKNOWN,touch,,128,48
1526,167.94,UNKNOWN,touch,,64,96
1527,168.058,UNKNOWN,touch,,128,144
1528,168.175,UNKNOWN,touch,,64,96
