step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,8.261,UNKNOWN,key,right,,
1,8.278,UNKNOWN,-,-,-,-
2,8.377,UNKNOWN,-,-,-,-
3,8.56,UNKNOWN,key,right,,
4,8.576,UNKNOWN,-,-,-,-
5,8.676,UNKNOWN,-,-,-,-
6,8.858,UNKNOWN,key,up,,
7,13.994,UNKNOWN,key,x,,
8,19.396,UNKNOWN,key,x,,
9,24.146,UNKNOWN,key,left,,
10,29.575,UNKNOWN,key,down,,
11,34.454,UNKNOWN,key,x,,
12,34.543,UNKNOWN,key,right,,
13,34.56,UNKNOWN,-,-,-,-
14,34.66,UNKNOWN,-,-,-,-
15,34.842,UNKNOWN,key,right,,
16,34.861,UNKNOWN,-,-,-,-
17,34.96,UNKNOWN,-,-,-,-
18,35.142,UNKNOWN,key,up,,
19,40.44,UNKNOWN,key,x,,
