step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,14.2,UNKNOWN,key,z,,
1,20.231,UNKNOWN,-,-,-,-
2,25.382,UNKNOWN,key,x,,
3,30.973,UNKNOWN,key,z,,
4,36.744,UNKNOWN,key,x,,
5,42.31,UNKNOWN,-,-,-,-
6,47.89,UNKNOWN,key,a,,
7,53.315,UNKNOWN,key,x,,
8,58.896,UNKNOWN,-,-,-,-
9,64.426,UNKNOWN,key,z,,
10,70.133,UNKNOWN,key,s,,
11,75.21,UNKNOWN,key,x,,
12,80.209,UNKNOWN,key,w,,
13,85.372,UNKNOWN,key,x,,
14,90.432,UNKNOWN,key,z,,
15,95.481,UNKNOWN,key,x,,
16,100.453,UNKNOWN,-,-,-,-
17,105.388,UNKNOWN,-,-,-,-
18,110.307,UNKNOWN,-,-,-,-
19,115.231,UNKNOWN,-,-,-,-
20,120.336,UNKNOWN,-,-,-,-
