step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.116,UNKNOWN,touch,,128,96
1,0.216,UNKNOWN,key,x,,
2,0.329,UNKNOWN,touch,,128,144
3,0.447,UNKNOWN,touch,,128,48
4,0.548,UNKNOWN,key,z,,
5,0.663,UNKNOWN,touch,,128,96
6,0.748,UNKNOWN,key,left,,
7,0.865,UNKNOWN,key,return,,
8,0.979,UNKNOWN,touch,,192,96
9,1.095,UNKNOWN,touch,,128,48
10,1.196,UNKNOWN,touch,,128,48
11,1.312,UNKNOWN,touch,,64,96
12,1.398,UNKNOWN,key,down,,
13,1.513,UNKNOWN,touch,,128,48
14,1.614,UNKNOWN,key,down,,
15,1.714,UNKNOWN,key,up,,
16,1.829,UNKNOWN,touch,,128,48
17,1.945,UNKNOWN,touch,,128,144
18,2.031,UNKNOWN,key,z,,
19,2.146,UNKNOWN,touch,,128,144
20,2.262,UNKNOWN,touch,,128,144
21,2.363,UNKNOWN,touch,,128,48
22,2.464,UNKNOWN,key,up,,
23,2.579,UNKNOWN,touch,,128,96
24,2.664,UNKNOWN,key,left,,
25,2.765,UNKNOWN,key,up,,
26,2.881,UNKNOWN,key,x,,
27,2.996,UNKNOWN,touch,,128,144
28,3.113,UNKNOWN,touch,,192,96
29,3.213,UNKNOWN,touch,,128,48
30,3.314,UNKNOWN,key,left,,
31,3.414,UNKNOWN,key,return,,
32,3.529,UNKNOWN,touch,,128,96
33,3.63,UNKNOWN,touch,,192,96
34,3.746,UNKNOWN,touch,,128,48
35,3.845,UNKNOWN,touch,,128,144
36,3.931,UNKNOWN,key,z,,
37,4.047,UNKNOWN,touch,,192,96
38,4.163,UNKNOWN,touch,,64,96
39,4.248,UNKNOWN,key,right,,
40,4.38,UNKNOWN,touch,,128,96
41,4.497,UNKNOWN,touch,,192,96
42,4.613,UNKNOWN,touch,,192,96
43,4.73,UNKNOWN,touch,,128,96
44,4.83,UNKNOWN,key,right,,
45,4.93,UNKNOWN,key,right,,
46,5.031,UNKNOWN,key,z,,
47,5.146,UNKNOWN,touch,,128,48
48,5.263,UNKNOWN,touch,,128,96
49,5.347,UNKNOWN,key,x,,
50,5.464,UNKNOWN,key,right,,
51,5.579,UNKNOWN,touch,,64,96
52,5.679,UNKNOWN,touch,,128,48
53,5.781,UNKNOWN,key,up,,
54,5.896,UNKNOWN,touch,,128,48
55,6.013,UNKNOWN,touch,,128,96
56,6.115,UNKNOWN,key,right,,
57,6.229,UNKNOWN,touch,,128,96
58,6.329,UNKNOWN,touch,,64,96
59,6.43,UNKNOWN,touch,,128,96
60,6.546,UNKNOWN,touch,,192,96
61,6.663,UNKNOWN,touch,,128,96
62,6.779,UNKNOWN,touch,,128,96
63,6.88,UNKNOWN,touch,,64,96
64,6.981,UNKNOWN,key,left,,
65,7.081,UNKNOWN,key,x,,
66,7.181,UNKNOWN,key,up,,
67,7.296,UNKNOWN,touch,,192,96
68,7.398,UNKNOWN,key,z,,
69,7.513,UNKNOWN,touch,,128,48
70,7.63,UNKNOWN,touch,,64,96
71,7.731,UNKNOWN,key,up,,
72,7.847,UNKNOWN,touch,,192,96
73,7.963,UNKNOWN,touch,,128,48
74,8.08,UNKNOWN,touch,,192,96
75,8.196,UNKNOWN,touch,,128,144
76,8.297,UNKNOWN,touch,,64,96
77,8.397,UNKNOWN,key,up,,
78,8.513,UNKNOWN,touch,,128,96
79,8.612,UNKNOWN,touch,,128,96
80,8.713,UNKNOWN,touch,,192,96
81,8.83,UNKNOWN,touch,,128,48
82,8.931,UNKNOWN,key,z,,
83,9.046,UNKNOWN,touch,,64,96
84,9.162,UNKNOWN,touch,,128,48
85,9.264,UNKNOWN,touch,,128,96
86,9.364,UNKNOWN,key,left,,
87,9.479,UNKNOWN,touch,,128,48
88,9.564,UNKNOWN,key,up,,
89,9.679,UNKNOWN,touch,,128,96
90,9.797,UNKNOWN,touch,,64,96
91,9.912,UNKNOWN,touch,,128,96
92,10.012,UNKNOWN,touch,,64,96
93,10.129,UNKNOWN,touch,,64,96
94,10.229,UNKNOWN,touch,,64,96
95,10.346,UNKNOWN,touch,,192,96
96,10.431,UNKNOWN,key,return,,
97,10.546,UNKNOWN,touch,,192,96
98,10.648,UNKNOWN,key,return,,
99,10.748,UNKNOWN,key,x,,
100,10.848,UNKNOWN,key,x,,
101,10.948,UNKNOWN,key,z,,
102,11.048,UNKNOWN,key,z,,
103,11.163,UNKNOWN,touch,,128,96
104,11.248,UNKNOWN,key,down,,
105,11.38,UNKNOWN,touch,,192,96
106,11.496,UNKNOWN,touch,,64,96
107,11.581,UNKNOWN,key,left,,
108,11.696,UNKNOWN,touch,,128,144
109,11.798,UNKNOWN,key,right,,
110,11.914,UNKNOWN,touch,,64,96
111,12.03,UNKNOWN,touch,,64,96
112,12.146,UNKNOWN,touch,,128,48
113,12.232,UNKNOWN,key,left,,
114,12.363,UNKNOWN,touch,,128,48
115,12.48,UNKNOWN,touch,,192,96
116,12.597,UNKNOWN,touch,,128,48
117,12.698,UNKNOWN,key,down,,
118,12.814,UNKNOWN,touch,,128,96
119,12.93,UNKNOWN,touch,,128,48
120,13.047,UNKNOWN,touch,,128,96
121,13.148,UNKNOWN,key,left,,
122,13.265,UNKNOWN,touch,,64,96
123,13.38,UNKNOWN,touch,,64,96
124,13.464,UNKNOWN,key,return,,
125,13.581,UNKNOWN,key,down,,
126,13.683,UNKNOWN,key,return,,
127,13.783,UNKNOWN,key,return,,
128,13.882,UNKNOWN,key,up,,
129,13.997,UNKNOWN,touch,,64,96
130,14.114,UNKNOWN,touch,,64,96
131,14.215,UNKNOWN,key,right,,
132,14.314,UNKNOWN,key,down,,
133,14.415,UNKNOWN,key,return,,
134,14.53,UNKNOWN,touch,,64,96
135,14.647,UNKNOWN,touch,,128,96
136,14.748,UNKNOWN,key,up,,
137,14.863,UNKNOWN,touch,,128,144
138,14.963,UNKNOWN,touch,,128,48
139,15.048,UNKNOWN,key,left,,
