step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,12.47,UNKNOWN,key,x,,
1,17.609,UNKNOWN,key,x,,
2,22.481,UNKNOWN,key,w,,
3,27.565,UNKNOWN,key,s,,
4,32.393,UNKNOWN,key,x,,
5,37.489,UNKNOWN,key,x,,
6,42.373,UNKNOWN,key,x,,
7,47.3,UNKNOWN,key,q,,
8,52.15,UNKNOWN,key,x,,
9,57.099,UNKNOWN,key,x,,
10,61.985,UNKNOWN,key,s,,
11,66.782,UNKNOWN,key,x,,
12,71.845,UNKNOWN,key,x,,
13,76.991,UNKNOWN,key,x,,
14,81.981,UNKNOWN,key,w,,
15,86.765,UNKNOWN,key,x,,
16,91.909,UNKNOWN,key,x,,
17,96.645,UNKNOWN,key,x,,
18,101.699,UNKNOWN,key,x,,
19,106.468,UNKNOWN,key,q,,
20,111.632,UNKNOWN,key,x,,
21,116.189,UNKNOWN,key,x,,
22,121.144,UNKNOWN,key,s,,
23,126.212,UNKNOWN,key,x,,
24,131.385,UNKNOWN,key,s,,
25,136.366,UNKNOWN,key,x,,
26,141.514,UNKNOWN,key,x,,
27,146.588,UNKNOWN,key,x,,
28,151.702,UNKNOWN,key,s,,
