step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.088,UNKNOWN,key,up,,
1,0.253,UNKNOWN,key,z,,
2,0.355,UNKNOWN,key,z,,
3,0.452,UNKNOWN,key,left,,
4,0.552,UNKNOWN,key,right,,
5,0.652,UNKNOWN,key,left,,
6,0.752,UNKNOWN,key,z,,
7,0.852,UNKNOWN,key,x,,
8,0.953,UNKNOWN,key,right,,
9,1.052,UNKNOWN,key,z,,
10,1.153,UNKNOWN,key,return,,
11,1.253,UNKNOWN,key,up,,
12,1.353,UNKNOWN,key,left,,
13,1.454,UNKNOWN,key,return,,
14,1.552,UNKNOWN,key,up,,
15,1.653,UNKNOWN,key,z,,
16,1.752,UNKNOWN,key,z,,
17,1.853,UNKNOWN,key,down,,
18,1.952,UNKNOWN,key,right,,
19,2.052,UNKNOWN,key,x,,
20,2.153,UNKNOWN,key,up,,
21,2.253,UNKNOWN,key,return,,
22,2.353,UNKNOWN,key,right,,
23,2.452,UNKNOWN,key,up,,
24,2.552,UNKNOWN,key,up,,
25,2.653,UNKNOWN,key,right,,
26,2.754,UNKNOWN,key,left,,
27,2.853,UNKNOWN,key,left,,
28,2.952,UNKNOWN,key,x,,
29,3.053,UNKNOWN,key,z,,
30,3.152,UNKNOWN,key,up,,
31,3.253,UNKNOWN,key,return,,
32,3.353,UNKNOWN,key,down,,
33,3.454,UNKNOWN,key,return,,
34,3.553,UNKNOWN,key,z,,
35,3.652,UNKNOWN,key,down,,
36,3.753,UNKNOWN,key,x,,
37,3.854,UNKNOWN,key,return,,
38,3.952,UNKNOWN,key,x,,
39,4.069,UNKNOWN,key,left,,
40,4.168,UNKNOWN,key,right,,
41,4.27,UNKNOWN,key,left,,
42,4.372,UNKNOWN,key,left,,
43,4.47,UNKNOWN,key,x,,
44,4.57,UNKNOWN,key,up,,
45,4.669,UNKNOWN,key,z,,
46,4.77,UNKNOWN,key,x,,
47,4.869,UNKNOWN,key,z,,
48,4.969,UNKNOWN,key,left,,
49,5.069,UNKNOWN,key,z,,
50,5.17,UNKNOWN,key,down,,
51,5.269,UNKNOWN,key,x,,
52,5.37,UNKNOWN,key,down,,
53,5.469,UNKNOWN,key,up,,
54,5.569,UNKNOWN,key,z,,
55,5.669,UNKNOWN,key,return,,
56,5.77,UNKNOWN,key,down,,
57,5.869,UNKNOWN,key,z,,
58,5.969,UNKNOWN,key,right,,
59,6.069,UNKNOWN,key,left,,
60,6.169,UNKNOWN,key,right,,
61,6.27,UNKNOWN,key,z,,
62,6.369,UNKNOWN,key,x,,
63,6.471,UNKNOWN,key,up,,
64,6.569,UNKNOWN,key,return,,
65,6.669,UNKNOWN,key,up,,
66,6.769,UNKNOWN,key,right,,
67,6.87,UNKNOWN,key,right,,
68,6.97,UNKNOWN,key,left,,
69,7.072,UNKNOWN,key,right,,
70,7.169,UNKNOWN,key,z,,
71,7.269,UNKNOWN,key,down,,
72,7.37,UNKNOWN,key,left,,
73,7.47,UNKNOWN,key,right,,
74,7.569,UNKNOWN,key,up,,
75,7.669,UNKNOWN,key,left,,
76,7.77,UNKNOWN,key,down,,
77,7.87,UNKNOWN,key,right,,
78,7.969,UNKNOWN,key,right,,
79,8.069,UNKNOWN,key,up,,
80,8.187,UNKNOWN,key,up,,
81,8.286,UNKNOWN,key,right,,
82,8.386,UNKNOWN,key,right,,
83,8.486,UNKNOWN,key,z,,
84,8.587,UNKNOWN,key,x,,
85,8.687,UNKNOWN,key,up,,
86,8.787,UNKNOWN,key,right,,
87,8.885,UNKNOWN,key,x,,
88,8.986,UNKNOWN,key,z,,
89,9.085,UNKNOWN,key,down,,
90,9.188,UNKNOWN,key,z,,
91,9.287,UNKNOWN,key,up,,
92,9.386,UNKNOWN,key,down,,
93,9.486,UNKNOWN,key,x,,
94,9.585,UNKNOWN,key,down,,
95,9.686,UNKNOWN,key,right,,
96,9.785,UNKNOWN,key,x,,
97,9.885,UNKNOWN,key,right,,
98,9.986,UNKNOWN,key,down,,
99,10.085,UNKNOWN,key,return,,
100,10.203,UNKNOWN,key,left,,
101,10.303,UNKNOWN,key,down,,
102,10.404,UNKNOWN,key,left,,
103,10.503,UNKNOWN,key,return,,
104,10.603,UNKNOWN,key,left,,
105,10.703,UNKNOWN,key,left,,
106,10.803,UNKNOWN,key,up,,
107,10.903,UNKNOWN,key,down,,
108,11.003,UNKNOWN,key,right,,
109,11.103,UNKNOWN,key,x,,
110,11.203,UNKNOWN,key,z,,
111,11.303,UNKNOWN,key,down,,
112,11.402,UNKNOWN,key,down,,
113,11.503,UNKNOWN,key,x,,
114,11.603,UNKNOWN,key,z,,
115,11.708,UNKNOWN,key,x,,
116,11.803,UNKNOWN,key,up,,
117,11.903,UNKNOWN,key,z,,
118,12.003,UNKNOWN,key,left,,
119,12.104,UNKNOWN,key,left,,
120,12.203,UNKNOWN,key,right,,
121,12.304,UNKNOWN,key,up,,
122,12.403,UNKNOWN,key,down,,
123,12.502,UNKNOWN,key,x,,
124,12.603,UNKNOWN,key,z,,
125,12.703,UNKNOWN,key,down,,
126,12.803,UNKNOWN,key,right,,
127,12.904,UNKNOWN,key,return,,
128,13.004,UNKNOWN,key,right,,
129,13.103,UNKNOWN,key,return,,
130,13.203,UNKNOWN,key,right,,
131,13.303,UNKNOWN,key,z,,
132,13.403,UNKNOWN,key,down,,
133,13.504,UNKNOWN,key,z,,
134,13.603,UNKNOWN,key,x,,
135,13.703,UNKNOWN,key,x,,
136,13.803,UNKNOWN,key,right,,
137,13.904,UNKNOWN,key,left,,
138,14.003,UNKNOWN,key,z,,
139,14.102,UNKNOWN,key,right,,
140,14.204,UNKNOWN,key,return,,
141,14.303,UNKNOWN,key,up,,
142,14.403,UNKNOWN,key,left,,
143,14.503,UNKNOWN,key,right,,
144,14.619,UNKNOWN,key,left,,
145,14.72,UNKNOWN,key,z,,
146,14.819,UNKNOWN,key,up,,
147,14.919,UNKNOWN,key,z,,
148,15.02,UNKNOWN,key,x,,
149,15.12,UNKNOWN,key,right,,
150,15.221,UNKNOWN,key,x,,
151,15.32,UNKNOWN,key,return,,
152,15.419,UNKNOWN,key,return,,
153,15.519,UNKNOWN,key,down,,
154,15.62,UNKNOWN,key,up,,
155,15.719,UNKNOWN,key,x,,
156,15.822,UNKNOWN,key,left,,
157,15.92,UNKNOWN,key,right,,
158,16.02,UNKNOWN,key,left,,
159,16.12,UNKNOWN,key,z,,
160,16.221,UNKNOWN,key,left,,
161,16.321,UNKNOWN,key,left,,
162,16.42,UNKNOWN,key,x,,
163,16.519,UNKNOWN,key,z,,
164,16.62,UNKNOWN,key,down,,
165,16.719,UNKNOWN,key,x,,
166,16.82,UNKNOWN,key,return,,
167,16.92,UNKNOWN,key,z,,
168,17.02,UNKNOWN,key,down,,
169,17.119,UNKNOWN,key,right,,
170,17.219,UNKNOWN,key,return,,
171,17.336,UNKNOWN,key,left,,
172,17.437,UNKNOWN,key,return,,
173,17.536,UNKNOWN,key,return,,
174,17.636,UNKNOWN,key,z,,
175,17.736,UNKNOWN,key,right,,
176,17.836,UNKNOWN,key,return,,
177,17.936,UNKNOWN,key,down,,
178,18.041,UNKNOWN,key,return,,
179,18.136,UNKNOWN,key,x,,
180,18.236,UNKNOWN,key,x,,
181,18.337,UNKNOWN,key,z,,
182,18.437,UNKNOWN,key,up,,
183,18.541,UNKNOWN,key,left,,
184,18.636,UNKNOWN,key,down,,
185,18.736,UNKNOWN,key,left,,
186,18.837,UNKNOWN,key,right,,
187,18.94,UNKNOWN,key,left,,
188,19.037,UNKNOWN,key,x,,
189,19.137,UNKNOWN,key,return,,
190,19.236,UNKNOWN,key,return,,
191,19.336,UNKNOWN,key,x,,
192,19.436,UNKNOWN,key,return,,
193,19.537,UNKNOWN,key,up,,
194,19.639,UNKNOWN,key,return,,
195,19.736,UNKNOWN,key,z,,
196,19.836,UNKNOWN,key,up,,
197,19.937,UNKNOWN,key,right,,
198,20.037,UNKNOWN,key,x,,
199,20.136,UNKNOWN,key,z,,
200,20.237,UNKNOWN,key,right,,
201,20.337,UNKNOWN,key,right,,
202,20.437,UNKNOWN,key,right,,
203,20.536,UNKNOWN,key,z,,
204,20.64,UNKNOWN,key,return,,
205,20.736,UNKNOWN,key,down,,
206,20.837,UNKNOWN,key,down,,
207,20.936,UNKNOWN,key,z,,
208,21.054,UNKNOWN,key,return,,
209,21.153,UNKNOWN,key,left,,
210,21.254,UNKNOWN,key,up,,
211,21.353,UNKNOWN,key,up,,
212,21.453,UNKNOWN,key,left,,
213,21.553,UNKNOWN,key,left,,
214,21.652,UNKNOWN,key,right,,
215,21.754,UNKNOWN,key,down,,
216,21.855,UNKNOWN,key,down,,
217,21.955,UNKNOWN,key,z,,
218,22.054,UNKNOWN,key,right,,
219,22.153,UNKNOWN,key,left,,
220,22.253,UNKNOWN,key,right,,
221,22.355,UNKNOWN,key,up,,
222,22.453,UNKNOWN,key,right,,
223,22.553,UNKNOWN,key,left,,
